,,A,B.E.,CDS-PP,CH,IL,JPP,L,MAS,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPM,PS,PTP,PURP,R.I.R.
1504,68267,234,4657,698,658,290,,432,26,87,73,1554,8131,372,43,194,3985,65,16018,34,91,136
1505,11985,23,578,166,90,33,,41,7,6,13,185,1566,93,14,27,861,15,2322,4,19,32
1506,57679,155,3835,666,594,188,,280,23,83,72,1180,6770,342,62,170,2721,64,11272,50,82,158
1507,43402,197,2483,852,576,322,,281,17,56,71,950,2276,175,41,117,3928,55,8450,42,35,139
1508,54569,241,3767,941,582,294,,408,17,91,86,1238,4017,317,74,107,4343,56,10813,33,57,226
1509,24248,65,1639,390,191,75,,124,5,38,25,368,2503,194,53,55,2000,27,4592,15,27,92
1510,139487,537,8768,2124,1753,845,,920,52,241,204,3702,11518,625,128,397,11015,137,29536,75,236,422
1511,44051,197,2746,728,609,204,,282,20,70,77,1083,3008,163,49,125,3350,39,8678,35,68,163
1512,104875,438,7258,1910,965,519,,650,90,156,160,2469,7190,440,65,230,8629,102,20435,44,159,261
1513,12085,39,863,157,87,48,,62,7,21,17,218,926,76,23,18,747,11,2098,13,14,50
1601,25431,39,470,507,50,40,25,53,,16,16,218,262,31,44,30,4888,25,3869,20,11,61
1602,16397,52,832,250,60,59,30,50,,14,20,244,336,54,6,21,2781,13,3387,10,14,84
1603,10529,9,207,135,18,11,2,13,,7,7,56,51,25,7,7,1127,15,1656,4,4,20
1604,19937,23,510,492,64,50,23,44,,8,11,134,127,40,21,46,3418,18,3064,13,12,74
1605,8728,15,309,146,37,13,14,20,,4,17,91,145,21,16,11,1043,11,2088,12,11,34
1606,13490,21,307,228,24,20,7,37,,5,8,106,132,17,12,7,2556,7,2321,8,4,39
1607,41048,105,1561,3655,149,133,51,107,,40,38,414,695,124,66,44,8422,34,6183,41,29,230
1608,13143,33,407,211,39,24,11,25,,9,10,147,144,37,12,10,2392,7,2138,10,12,64
1609,83792,360,5329,1800,371,317,413,313,,97,127,1363,2849,297,82,104,13176,62,15890,85,107,401
1610,8422,22,388,152,46,25,11,26,,9,5,103,98,25,15,12,1393,12,1796,5,8,51
1701,11740,66,332,255,41,13,,29,,,6,69,134,31,12,6,1859,11,2229,,,43
1702,7838,3,92,76,10,7,,3,,,6,20,78,14,6,3,2175,7,873,,,20
1703,43846,115,1159,782,151,61,,114,,,33,347,590,109,45,37,7211,40,6972,,,97
1704,3758,7,149,107,10,4,,6,,,4,42,33,4,3,5,526,3,790,,,18
1705,7967,10,157,399,16,13,,17,,,15,47,72,26,11,7,1289,7,1297,,,18
1706,14260,20,204,165,33,12,,11,,,1,54,66,35,5,3,1951,6,2516,,,28
1707,6609,13,138,150,15,5,,10,,,7,37,48,23,2,6,1300,3,1085,,,13
1708,15683,48,448,246,60,21,,35,,,7,109,246,45,6,8,2398,16,3017,,,31
1709,8615,9,138,190,13,7,,7,,,3,21,61,20,4,5,1204,13,1465,,,22
1710,6390,19,183,116,15,10,,14,,,3,46,72,17,6,6,1046,6,1197,,,40
1711,7360,16,212,157,22,21,,18,,,5,55,73,24,3,5,1128,11,1623,,,21
